,Timewindow,Sentiment,Volume,TweetIds
110,24-September-2022 7:00:00-7:29:59,0.412325,4,"1573570940583268353,1573570682293813249,1573569476083449857,1573568854235774976"
111,24-September-2022 7:30:00-7:59:59,-0.3141,2,"1573581674784632832,1573579141177393152"
112,24-September-2022 8:00:00-8:29:59,0.3538,4,"1573589297206558720,1573587926293876743,1573587029287489536,1573583016261308417"
113,24-September-2022 8:30:00-8:59:59,0.2613285714285714,7,"1573597776709050368,1573597611885576198,1573596666837360641,1573596170303201281,1573594850884206593,1573593360199450626,1573591006393630720"
114,24-September-2022 9:00:00-9:29:59,0.48260000000000003,8,"1573603156587692032,1573600854854213632,1573600800647311360,1573600627174920193,1573598806490619904,1573598714379354114,1573598454051397632,1573598257934131200"
115,24-September-2022 9:30:00-9:59:59,0.24844999999999998,8,"1573613167238062081,1573612793412161537,1573611851165859840,1573610868566261760,1573609507015782400,1573608431742849024,1573607725937868801,1573605970982363137"
116,24-September-2022 10:00:00-10:29:59,0.2942,1,1573614039468576772
117,24-September-2022 10:30:00-10:59:59,0.29940000000000005,8,"1573624974719451139,1573624886706114560,1573623613944922112,1573622423546740737,1573622278562127874,1573621237255110656,1573621182888378368,1573621103586590721"
118,24-September-2022 11:00:00-11:29:59,0.23217000000000004,10,"1573635748909424643,1573635148964417537,1573634345499246594,1573633297405837312,1573631967714844675,1573631636063031296,1573629759682412544,1573629553767231489,1573628471305469953,1573628321203634176"
119,24-September-2022 11:30:00-11:59:59,0.19386666666666666,6,"1573641071258738688,1573640076445319169,1573639679433478144,1573639560512393216,1573639213509218305,1573637794412519424"
120,24-September-2022 12:00:00-12:29:59,0.41006249999999994,8,"1573649869381804034,1573647852047585285,1573647823777812484,1573646517222752257,1573644607887269893,1573644253712232448,1573643436426776578,1573643413974437888"
121,24-September-2022 12:30:00-12:59:59,0.024759999999999994,10,"1573657632291708929,1573655865487417345,1573655164308832256,1573655073535803392,1573654858007445504,1573654532738805760,1573653513799860225,1573652997372276736,1573652470546534402,1573651736509796353"
122,24-September-2022 13:00:00-13:29:59,0.14651111111111115,9,"1573665063151742977,1573663925048049665,1573663845016649728,1573663150251155456,1573662720351735808,1573662255346073605,1573661598106853377,1573659977272672256,1573658639960866819"
123,24-September-2022 13:30:00-13:59:59,0.09300999999999998,10,"1573671560581328896,1573670883218128897,1573668843414765568,1573668485858996225,1573667562302365697,1573667250522898433,1573667106268524545,1573666190450368514,1573666175753617408,1573666069981663232"
124,24-September-2022 14:00:00-14:29:59,0.45045999999999997,5,"1573680574635839488,1573679044587130881,1573678120502190088,1573676410752868353,1573674889483100166"
125,24-September-2022 14:30:00-14:59:59,0.3670166666666667,6,"1573688087443644417,1573685761194528768,1573684167908495360,1573683978627850240,1573682129891893249,1573682086950715393"
126,24-September-2022 15:00:00-15:29:59,0.30772000000000005,5,"1573695327881908230,1573694852914520065,1573693481478127616,1573691492916502528,1573688901646094347"
127,24-September-2022 15:30:00-15:59:59,0.227675,12,"1573703657203310597,1573703486281236480,1573701433873944577,1573700408853159938,1573700188375601159,1573699397593886720,1573699128869019648,1573698681374662657,1573697771588431878,1573697322789265409,1573697127594840067,1573696791421124608"
128,24-September-2022 16:00:00-16:29:59,0.02770000000000001,7,"1573710540232269825,1573708718050525185,1573708389812781056,1573708123247988737,1573707876488851456,1573707423998791680,1573704418171801602"
129,24-September-2022 16:30:00-16:59:59,0.2182333333333333,6,"1573718766000648192,1573718578557497344,1573718162260086787,1573717192507592705,1573716680093605889,1573714532823965696"
130,24-September-2022 17:00:00-17:29:59,0.108075,8,"1573726101926744064,1573725592830214144,1573721938479939584,1573720878726234117,1573720815413215238,1573720668008583168,1573719677091852289,1573719463161208834"
131,24-September-2022 17:30:00-17:59:59,-0.08914000000000005,5,"1573733588163592195,1573733432919613440,1573730445015105537,1573727296737144832,1573726830305374208"
132,24-September-2022 18:00:00-18:29:59,0.3961428571428572,7,"1573741175332343810,1573739805380337666,1573739146664878080,1573737282674495489,1573736640253771777,1573735747034779651,1573734490500915204"
133,24-September-2022 18:30:00-18:59:59,0.08324000000000002,10,"1573748542480388097,1573748249386954752,1573748210367078407,1573747391160893443,1573747369673658368,1573747346646736898,1573744962365186051,1573743070859984902,1573742793079545858,1573742539290599425"
